surface_name	site_name	species_name	formation_energy	frequencies	reference
Fe	1_3	COOH	-1.12	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
Ni	1_3	CO	-2.67	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
Ni	1_3	COOH	-1.94	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
Fe	2_1	CO2	-0.18	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
Fe	2_1	CO	-0.84	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
Fe	2_1	COOH	0.25	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
Ni	2_1	CO2	-0.21	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
Ni	2_1	CO	-0.45	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
Ni	2_1	COOH	-0.01	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
Fe	2_2	CO2	-0.12	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
