surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	CO2	0.0	[2345.043704, 1304.516933, 627.332803, 627.223381, 6.224812, 2.826199]	sv_calc
None	gas	CO	0.53	[1993.435752, 232.820271, 232.021371]	sv_calc
None	gas	H2	0.0	[4365.781307, 90.625081, 62.147748]	sv_calc
None	gas	H2O	0.0	[3823.236815, 3714.548821, 1601.953121, 117.831391, 81.112955, 51.646198]	sv_calc
CoNC	graphene	CO	-0.41	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
CoNCC	graphene	CO	-0.49	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
CoNNC	graphene	CO	-0.85	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
CoNNCC	graphene	CO	-0.45	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
CoNNNNCC	graphene	CO	0.12	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
FeNCC	graphene	CO	-0.1	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
FeNNC	graphene	CO	-1.31	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
FeNNCC	graphene	CO	-0.13	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
FeNNNCC	graphene	CO	-0.42	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
FeCC	graphene	CO	-1.34	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
FeNNNNCC	graphene	CO	-0.14	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
NiNC	graphene	CO	-0.03	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
NiNCC	graphene	CO	1.27	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
NiNNC	graphene	CO	-0.88	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
NiNNCC	graphene	CO	0.35	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
NiNNNC	graphene	CO	-1.86	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
NiNNNCC	graphene	CO	0.62	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
NiNNNNCC	graphene	CO	0.43	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
VNC	graphene	CO	-0.9	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
VNCC	graphene	CO	-1.1	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
VNNC	graphene	CO	-1.11	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
VNNCC	graphene	CO	-0.94	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
VNNNC	graphene	CO	-0.19	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
