surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	CO2	0.0	[2337.1, 1303.43, 626.2, 626.2, 8.98, 8.98]	sv_calc
None	gas	CO	-0.228	[2102.17, 30.57, 30.53]	sv_calc
None	gas	H2	0.0	[4357.74, 101.87, 101.851]	sv_calc
None	gas	H2O	0.0	[3823.99, 3715.4, 1599.34, 84.9, 76.593, 10]	sv_calc
Ag	211	COOH	-0.12	"[  38.409111   50.03331    79.521321  166.923778  201.569371  422.643632
  621.187014  659.781613  870.945931 1201.602437 1529.390596 3513.349885]"	sv_calc
Ag	211	CO	0.08	[  38.407997   42.300457  162.246883  302.488468  312.941853 1830.672153]	sv_calc
Ag	211	CO2	0.2	"[  26.176468   33.771349  120.108935  127.402226  194.999426  628.368517
  644.718556 1122.07048  1564.99168 ]"	sv_calc
Au	211	COOH	-0.33	"[  46.91038    50.909241   76.636852  229.030785  248.279521  472.197238
  643.574101  647.547457  957.778501 1227.479031 1564.619265 3554.34079 ]"	sv_calc
Au	211	CO	-0.09	[  41.958021   53.210976  252.613968  314.591144  333.210293 1838.269776]	sv_calc
Au	211	CO2	-0.08	"[  34.011126   41.706633  104.48032   160.498541  206.897516  635.014221
  644.752037 1161.217499 1649.945751]"	sv_calc
Cu	211	COOH	-0.4	"[  36.916873   51.682567   85.218236  205.537787  218.295441  446.959468
  631.938592  660.719014  863.089447 1201.896133 1504.560501 3541.591746]"	sv_calc
Cu	211	CO	-0.51	[  42.940925   52.380814  344.838104  402.043019  405.189403 1782.952819]	sv_calc
Cu	211	CO2	0.03	"[  48.586339  131.534576  167.307513  169.755849  619.669415  659.450579
 1101.881474 1433.993069]"	sv_calc
Pd	211	COOH	-0.84	"[  43.879546   50.615979   81.610705  227.662057  251.769461  469.298112
  630.224824  652.411891  911.874646 1228.422567 1529.869197 3561.98984 ]"	sv_calc
Pd	211	CO	-1.27	[  38.645934   48.081469  382.573025  392.686698  428.826874 1855.682517]	sv_calc
